Fishing_year,Reporting_class,Number_tows
1990,TCEPR,37020
1991,TCEPR,44754
1992,TCEPR,48969
1993,TCEPR,51716
1994,TCEPR,51660
1995,TCEPR,57293
1996,TCEPR,66185
1997,TCEPR,70004
1998,TCEPR,76652
1999,TCEPR,70113
2000,TCEPR,64783
2001,TCEPR,63096
2002,TCEPR,64011
2003,TCEPR,62447
2004,TCEPR,57180
2005,TCEPR,53981
2006,TCEPR,49012
2007,TCEPR,44912
2008,TCEPR,38648
2009,TCEPR,34582
2010,TCEPR,34531
2011,TCEPR,32246
2012,TCEPR,31385
2013,TCEPR,28831
2014,TCEPR,28686
1990,CELR,75802
1991,CELR,83112
1992,CELR,84664
1993,CELR,91592
1994,CELR,81523
1995,CELR,78739
1996,CELR,69571
1997,CELR,75302
1998,CELR,68370
1999,CELR,69900
2000,CELR,62137
2001,CELR,58810
2002,CELR,54432
2003,CELR,57319
2004,CELR,54650
2005,CELR,58319
2006,CELR,54793
2007,CELR,52341
2008,CELR,1228
2009,CELR,1766
2010,CELR,437
2011,CELR,159
2009,TCER,45667
2010,TCER,51544
2011,TCER,47248
2012,TCER,46912
2013,TCER,48756
2014,TCER,43155
2012,CELR,195
2013,CELR,173
2014,CELR,268
1990,TCER,0
1991,TCER,0
1992,TCER,0
1993,TCER,0
1994,TCER,0
1995,TCER,0
1996,TCER,0
1997,TCER,0
1998,TCER,0
1999,TCER,0
2000,TCER,0
2001,TCER,0
2002,TCER,0
2003,TCER,0
2004,TCER,0
2005,TCER,0
2006,TCER,0
2007,TCER,0
2008,TCER,44924
